School ID,Grade 7 Male,Grade 7 Female,Grade 8 Male,Grade 8 Female,Grade 9 Male,Grade 9 Female,Grade 10 Male,Grade 10 Female,Grade 11 Male,Grade 11 Female,Grade 12 Male,Grade 12 Female,SPED NG Male,SPED NG Female
303076,58,48,48,70,42,39,40,28,0,0,0,0,0,0
303077,38,33,33,47,20,29,35,27,0,0,0,0,0,0
303078,54,39,47,42,44,35,42,34,0,0,0,0,0,0
303079,61,53,55,60,44,38,31,34,0,0,0,0,0,0
303080,59,70,55,48,52,51,39,39,0,0,0,0,0,0
303081,53,37,40,28,38,30,22,19,0,0,0,0,0,0
303082,53,54,44,47,53,41,37,36,0,0,0,0,0,0
303083,97,106,77,74,75,74,69,58,0,0,0,0,0,0
303084,31,27,42,32,26,23,34,27,0,0,0,0,0,0
303085,80,51,53,54,56,43,39,45,0,0,0,0,0,0
303086,49,51,65,53,46,52,49,51,0,0,0,0,0,0
303087,275,272,246,238,194,217,192,233,0,0,0,0,0,0
303088,83,51,71,56,52,52,37,52,0,0,0,0,0,0
303089,83,58,94,79,67,70,60,58,0,0,0,0,0,0
303090,123,96,99,83,72,89,89,81,0,0,0,0,0,0
303091,302,286,265,267,244,260,158,175,0,0,0,0,0,0
303092,436,350,387,336,348,393,248,230,0,0,0,0,0,0
303093,182,157,119,156,114,130,124,123,0,0,0,0,0,0
303094,176,193,169,175,163,173,128,146,0,0,0,0,0,0
303095,74,66,60,33,56,50,64,49,0,0,0,0,0,0
303096,55,52,52,72,60,58,67,53,0,0,0,0,0,0
303097,139,113,106,107,93,84,83,87,0,0,0,0,0,0
303098,130,112,114,121,85,129,98,95,0,0,0,0,0,0
303099,131,113,123,126,117,86,82,103,0,0,0,0,0,0
303100,42,43,48,57,49,55,52,41,0,0,0,0,0,0
303101,216,233,206,202,163,171,160,161,0,0,0,0,0,0
303102,108,95,94,101,83,98,97,83,0,0,0,0,0,0
303103,161,145,128,147,135,124,132,112,0,0,0,0,0,0
303104,91,61,77,85,62,80,55,70,0,0,0,0,0,0
303105,49,12,27,20,42,22,31,22,0,0,0,0,0,0
303106,99,99,88,97,70,74,81,82,0,0,0,0,0,0
303107,9,11,25,16,21,14,11,11,0,0,0,0,0,0
303108,45,20,25,30,24,38,29,25,0,0,0,0,0,0
303109,54,56,34,40,39,35,24,38,0,0,0,0,0,0
303110,86,63,66,73,64,52,67,49,0,0,0,0,0,0
303111,137,105,92,96,75,78,78,97,0,0,0,0,0,0
303112,54,61,65,65,54,42,49,43,0,0,0,0,0,0
303113,437,412,363,331,262,329,255,262,0,0,0,0,6,6
303114,184,187,164,200,137,154,150,160,0,0,0,0,0,0
